iter	Passed	Remaining
0	0	499
1	0	465
2	1	442
3	1	431
4	2	423
5	2	417
6	2	411
7	3	408
8	3	405
9	4	402
10	4	401
11	4	400
12	5	399
13	5	398
14	6	396
15	6	395
16	6	395
17	7	397
18	7	400
19	8	402
20	8	403
21	9	402
22	9	402
23	9	401
24	10	400
25	10	399
26	11	398
27	11	396
28	11	395
29	12	395
30	12	395
31	13	397
32	13	407
33	14	410
34	14	410
35	15	410
36	15	409
37	16	408
38	16	407
39	16	405
40	17	404
41	17	403
42	18	402
43	18	401
44	18	400
45	19	398
46	19	398
47	20	397
48	20	396
49	20	395
50	21	394
51	21	396
52	22	395
53	22	395
54	22	394
55	23	393
56	23	392
57	24	391
58	24	391
59	24	390
60	25	389
61	25	388
62	26	387
63	26	386
64	26	385
65	27	385
66	27	384
67	27	383
68	28	383
69	28	382
70	29	382
71	29	382
72	30	381
73	30	381
74	30	380
75	31	379
76	31	379
77	32	378
78	32	377
79	32	376
80	33	376
81	33	375
82	33	372
83	34	372
84	34	371
85	34	370
86	35	370
87	35	369
88	36	369
89	36	369
90	36	368
91	37	368
92	37	367
93	38	367
94	38	366
95	38	365
96	39	365
97	39	364
98	39	363
99	40	363
100	40	362
101	41	362
102	41	361
103	41	361
104	42	360
105	42	360
106	43	359
107	43	360
108	44	359
109	44	359
110	44	359
111	45	358
112	45	358
113	45	357
114	46	356
115	46	356
116	47	355
117	47	354
118	47	354
119	48	353
120	48	353
121	48	352
122	49	351
123	49	351
124	50	350
125	50	350
126	50	349
127	51	349
128	51	348
129	52	348
130	52	347
131	52	347
132	53	346
133	53	346
134	53	345
135	54	345
136	54	344
137	55	344
138	55	343
139	55	343
140	56	342
141	56	341
142	56	340
143	57	340
144	57	340
145	58	339
146	58	339
147	58	339
148	59	338
149	59	338
150	60	337
151	60	337
152	60	337
153	61	336
154	61	336
155	62	335
156	62	335
157	62	334
158	63	334
159	63	333
160	63	332
161	64	332
162	64	332
163	65	332
164	65	331
165	65	331
166	66	330
167	66	329
168	66	329
169	67	328
170	67	328
171	68	327
172	68	326
173	68	326
174	69	325
175	69	325
176	69	324
177	70	324
178	70	323
179	70	322
180	71	322
181	71	321
182	71	321
183	72	320
184	72	320
185	73	319
186	73	319
187	73	318
188	74	318
189	74	317
190	74	317
191	75	316
192	75	316
193	76	315
194	76	315
195	76	314
196	77	314
197	77	313
198	77	313
199	78	312
200	78	311
201	78	311
202	79	311
203	79	311
204	80	310
205	80	310
206	80	309
207	81	309
208	81	308
209	81	308
210	82	307
211	82	307
212	83	306
213	83	306
214	83	305
215	84	305
216	84	304
217	84	304
218	85	303
219	85	303
220	85	302
221	86	302
222	86	301
223	86	301
224	87	300
225	87	300
226	88	299
227	88	299
228	88	298
229	89	298
230	89	298
231	89	297
232	90	297
233	90	296
234	90	296
235	91	295
236	91	295
237	92	294
238	92	294
239	92	293
240	93	293
241	93	292
242	94	292
243	94	292
244	94	292
245	95	291
246	95	291
247	95	290
248	96	290
249	96	289
250	96	289
251	97	288
252	97	288
253	98	287
254	98	287
255	98	286
256	99	286
257	99	285
258	99	285
259	100	285
260	100	284
261	100	284
262	101	283
263	101	283
264	101	282
265	102	282
266	102	281
267	103	281
268	103	280
269	103	280
270	104	280
271	104	279
272	104	279
273	105	278
274	105	278
275	105	278
276	106	277
277	106	277
278	107	276
279	107	276
280	107	275
281	108	275
282	108	275
283	108	274
284	109	274
285	109	273
286	110	273
287	110	273
288	110	272
289	111	272
290	111	271
291	111	271
292	112	270
293	112	270
294	112	269
295	113	269
296	113	269
297	114	268
298	114	268
299	114	267
300	115	267
301	115	266
302	115	266
303	116	266
304	116	265
305	116	265
306	117	264
307	117	264
308	118	263
309	118	263
310	118	263
311	119	262
312	119	262
313	119	261
314	120	261
315	120	260
316	120	260
317	121	260
318	121	259
319	122	259
320	122	258
321	122	258
322	123	258
323	123	257
324	123	257
325	124	256
326	124	256
327	125	256
328	125	255
329	125	255
330	126	254
331	126	254
332	126	253
333	127	253
334	127	253
335	127	252
336	128	252
337	128	251
338	128	251
339	129	250
340	129	250
